,Unnamed: 0,ALT_CODE,ICD10,PHECODE,Excl. Phecodes,ICD10 String,Phenotype,Excl. Phenotypes,ICD10_NOX
47,47,A066,A06.6,8.0,001-009.99,Amoebic brain abscess,Intestinal infection,Intestinal infection,A066
48,48,A067,A06.7,8.0,001-009.99,Cutaneous amoebiasis,Intestinal infection,Intestinal infection,A067
49,49,A068,A06.8,8.0,001-009.99,Amoebic infection of other sites,Intestinal infection,Intestinal infection,A068
50,50,A069,A06.9,8.0,001-009.99,"Amoebiasis, unspecified",Intestinal infection,Intestinal infection,A069
51,51,A07,A07,8.0,001-009.99,Other protozoal intestinal diseases,Intestinal infection,Intestinal infection,A07
52,52,A070,A07.0,8.7,001-009.99,Balantidiasis,Intestinal infection due to protozoa,Intestinal infection,A070
53,53,A071,A07.1,8.7,001-009.99,Giardiasis [lambliasis],Intestinal infection due to protozoa,Intestinal infection,A071
54,54,A072,A07.2,8.7,001-009.99,Cryptosporidiosis,Intestinal infection due to protozoa,Intestinal infection,A072
55,55,A073,A07.3,8.0,001-009.99,Isosporiasis,Intestinal infection,Intestinal infection,A073
56,56,A078,A07.8,8.7,001-009.99,Other specified protozoal intestinal diseases,Intestinal infection due to protozoa,Intestinal infection,A078
57,57,A079,A07.9,8.0,001-009.99,"Protozoal intestinal disease, unspecified",Intestinal infection,Intestinal infection,A079
58,58,A08,A08,8.6,001-009.99,Viral and other specified intestinal infections,Viral Enteritis,Intestinal infection,A08
59,59,A080,A08.0,8.6,001-009.99,Rotaviral enteritis,Viral Enteritis,Intestinal infection,A080
60,60,A081,A08.1,8.6,001-009.99,Acute gastroenteropathy due to Norwalk agent,Viral Enteritis,Intestinal infection,A081
61,61,A082,A08.2,8.6,001-009.99,Adenoviral enteritis,Viral Enteritis,Intestinal infection,A082
62,62,A083,A08.3,8.6,001-009.99,Other viral enteritis,Viral Enteritis,Intestinal infection,A083
63,63,A084,A08.4,8.6,001-009.99,"Viral intestinal infection, unspecified",Viral Enteritis,Intestinal infection,A084
64,64,A085,A08.5,8.6,001-009.99,Other specified intestinal infections,Viral Enteritis,Intestinal infection,A085
65,65,A09,A09,8.0,001-009.99,Other gastroenteritis and colitis of infectious and unspecified origin,Intestinal infection,Intestinal infection,A09
66,66,A150,A15.0,10.0,010-041.99,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculosis,bacterial infection,A150
67,67,A151,A15.1,10.0,010-041.99,"Tuberculosis of lung, confirmed by culture only",Tuberculosis,bacterial infection,A151
68,68,A152,A15.2,10.0,010-041.99,"Tuberculosis of lung, confirmed histologically",Tuberculosis,bacterial infection,A152
69,69,A153,A15.3,10.0,010-041.99,"Tuberculosis of lung, confirmed by unspecified means",Tuberculosis,bacterial infection,A153
70,70,A154,A15.4,10.0,010-041.99,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Tuberculosis,bacterial infection,A154
71,71,A155,A15.5,10.0,010-041.99,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Tuberculosis,bacterial infection,A155
72,72,A156,A15.6,10.0,010-041.99,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculosis,bacterial infection,A156
73,73,A157,A15.7,10.0,010-041.99,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Tuberculosis,bacterial infection,A157
74,74,A159,A15.9,10.0,010-041.99,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Tuberculosis,bacterial infection,A159
75,75,A159,A15.9,41.0,010-041.99,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Bacterial infection NOS,bacterial infection,A159
76,76,A16,A16,10.0,010-041.99,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Tuberculosis,bacterial infection,A16
77,77,A160,A16.0,10.0,010-041.99,"Tuberculosis of lung, bacteriologically and histologically negative",Tuberculosis,bacterial infection,A160
78,78,A161,A16.1,10.0,010-041.99,"Tuberculosis of lung, bacteriological and histological examination not done",Tuberculosis,bacterial infection,A161
79,79,A162,A16.2,10.0,010-041.99,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Tuberculosis,bacterial infection,A162
80,80,A163,A16.3,10.0,010-041.99,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Tuberculosis,bacterial infection,A163
81,81,A164,A16.4,10.0,010-041.99,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Tuberculosis,bacterial infection,A164
82,82,A165,A16.5,10.0,010-041.99,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculosis,bacterial infection,A165
83,83,A167,A16.7,10.0,010-041.99,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Tuberculosis,bacterial infection,A167
84,84,A169,A16.9,10.0,010-041.99,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Tuberculosis,bacterial infection,A169
85,85,A17,A17,10.0,010-041.99,Tuberculosis of nervous system,Tuberculosis,bacterial infection,A17
86,86,A170,A17.0,10.0,010-041.99,Tuberculous meningitis,Tuberculosis,bacterial infection,A170
87,87,A171,A17.1,10.0,010-041.99,Meningeal tuberculoma,Tuberculosis,bacterial infection,A171
88,88,A178,A17.8,10.0,010-041.99,Other tuberculosis of nervous system,Tuberculosis,bacterial infection,A178
89,89,A179,A17.9,10.0,010-041.99,"Tuberculosis of nervous system, unspecified",Tuberculosis,bacterial infection,A179
90,90,A18,A18,10.0,010-041.99,Tuberculosis of other organs,Tuberculosis,bacterial infection,A18
91,91,A180,A18.0,10.0,010-041.99,Tuberculosis of bones and joints,Tuberculosis,bacterial infection,A180
92,92,A181,A18.1,10.0,010-041.99,Tuberculosis of genitourinary system,Tuberculosis,bacterial infection,A181
93,93,A182,A18.2,10.0,010-041.99,Tuberculous peripheral lymphadenopathy,Tuberculosis,bacterial infection,A182
94,94,A183,A18.3,10.0,010-041.99,"Tuberculosis of intestines, peritoneum and mesenteric glands",Tuberculosis,bacterial infection,A183
95,95,A184,A18.4,10.0,010-041.99,Tuberculosis of skin and subcutaneous tissue,Tuberculosis,bacterial infection,A184
96,96,A185,A18.5,10.0,010-041.99,Tuberculosis of eye,Tuberculosis,bacterial infection,A185
97,97,A186,A18.6,10.0,010-041.99,Tuberculosis of ear,Tuberculosis,bacterial infection,A186
98,98,A187,A18.7,10.0,010-041.99,Tuberculosis of adrenal glands,Tuberculosis,bacterial infection,A187
99,99,A188,A18.8,10.0,010-041.99,Tuberculosis of other specified organs,Tuberculosis,bacterial infection,A188
100,100,A19,A19,10.0,010-041.99,Miliary tuberculosis,Tuberculosis,bacterial infection,A19
101,101,A190,A19.0,10.0,010-041.99,Acute miliary tuberculosis of a single specified site,Tuberculosis,bacterial infection,A190
102,102,A191,A19.1,10.0,010-041.99,Acute miliary tuberculosis of multiple sites,Tuberculosis,bacterial infection,A191
103,103,A192,A19.2,10.0,010-041.99,"Acute miliary tuberculosis, unspecified",Tuberculosis,bacterial infection,A192
104,104,A198,A19.8,10.0,010-041.99,Other miliary tuberculosis,Tuberculosis,bacterial infection,A198
105,105,A199,A19.9,10.0,010-041.99,"Miliary tuberculosis, unspecified",Tuberculosis,bacterial infection,A199
106,106,A20,A20,41.0,010-041.99,Plague,Bacterial infection NOS,bacterial infection,A20
107,107,A200,A20.0,41.0,010-041.99,Bubonic plague,Bacterial infection NOS,bacterial infection,A200
108,108,A201,A20.1,686.0,680-686.99,Cellulocutaneous plague,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A201
109,109,A202,A20.2,480.1,480-488.99,Pneumonic plague,Bacterial pneumonia,Pneumonia and influenza,A202
110,110,A203,A20.3,41.0,010-041.99,Plague meningitis,Bacterial infection NOS,bacterial infection,A203
111,111,A207,A20.7,38.1,010-041.99,Septicaemic plague,Gram negative septicemia,bacterial infection,A207
112,112,A208,A20.8,41.0,010-041.99,Other forms of plague,Bacterial infection NOS,bacterial infection,A208
113,113,A209,A20.9,41.0,010-041.99,"Plague, unspecified",Bacterial infection NOS,bacterial infection,A209
114,114,A21,A21,41.0,010-041.99,Tularaemia,Bacterial infection NOS,bacterial infection,A21
115,115,A210,A21.0,686.0,680-686.99,Ulceroglandular tularaemia,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A210
116,116,A211,A21.1,369.0,369-374.99,Oculoglandular tularaemia,Infection of the eye,infection/inflammation of eye,A211
117,117,A212,A21.2,480.1,480-488.99,Pulmonary tularaemia,Bacterial pneumonia,Pneumonia and influenza,A212
118,118,A213,A21.3,8.0,001-009.99,Gastrointestinal tularaemia,Intestinal infection,Intestinal infection,A213
119,119,A217,A21.7,41.0,010-041.99,Generalized tularaemia,Bacterial infection NOS,bacterial infection,A217
120,120,A218,A21.8,41.0,010-041.99,Other forms of tularaemia,Bacterial infection NOS,bacterial infection,A218
121,121,A219,A21.9,41.0,010-041.99,"Tularaemia, unspecified",Bacterial infection NOS,bacterial infection,A219
122,122,A22,A22,41.0,010-041.99,Anthrax,Bacterial infection NOS,bacterial infection,A22
123,123,A220,A22.0,686.0,680-686.99,Cutaneous anthrax,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A220
124,124,A221,A22.1,480.1,480-488.99,Pulmonary anthrax,Bacterial pneumonia,Pneumonia and influenza,A221
125,125,A222,A22.2,8.0,001-009.99,Gastrointestinal anthrax,Intestinal infection,Intestinal infection,A222
126,126,A227,A22.7,38.2,010-041.99,Anthrax sepsis,Gram positive septicemia,bacterial infection,A227
127,127,A228,A22.8,41.0,010-041.99,Other forms of anthrax,Bacterial infection NOS,bacterial infection,A228
128,128,A229,A22.9,41.0,010-041.99,"Anthrax, unspecified",Bacterial infection NOS,bacterial infection,A229
129,129,A23,A23,41.0,010-041.99,Brucellosis,Bacterial infection NOS,bacterial infection,A23
130,130,A230,A23.0,41.0,010-041.99,Brucellosis due to Brucella melitensis,Bacterial infection NOS,bacterial infection,A230
131,131,A231,A23.1,41.0,010-041.99,Brucellosis due to Brucella abortus,Bacterial infection NOS,bacterial infection,A231
132,132,A232,A23.2,41.0,010-041.99,Brucellosis due to Brucella suis,Bacterial infection NOS,bacterial infection,A232
133,133,A233,A23.3,41.0,010-041.99,Brucellosis due to Brucella canis,Bacterial infection NOS,bacterial infection,A233
134,134,A238,A23.8,41.0,010-041.99,Other brucellosis,Bacterial infection NOS,bacterial infection,A238
135,135,A239,A23.9,41.0,010-041.99,"Brucellosis, unspecified",Bacterial infection NOS,bacterial infection,A239
136,136,A24,A24,41.0,010-041.99,Glanders and melioidosis,Bacterial infection NOS,bacterial infection,A24
137,137,A240,A24.0,41.0,010-041.99,Glanders,Bacterial infection NOS,bacterial infection,A240
138,138,A241,A24.1,41.0,010-041.99,Acute and fulminating melioidosis,Bacterial infection NOS,bacterial infection,A241
139,139,A242,A24.2,41.0,010-041.99,Subacute and chronic melioidosis,Bacterial infection NOS,bacterial infection,A242
140,140,A243,A24.3,41.0,010-041.99,Other melioidosis,Bacterial infection NOS,bacterial infection,A243
141,141,A244,A24.4,41.0,010-041.99,"Melioidosis, unspecified",Bacterial infection NOS,bacterial infection,A244
142,142,A25,A25,41.0,010-041.99,Rat-bite fevers,Bacterial infection NOS,bacterial infection,A25
143,143,A250,A25.0,41.0,010-041.99,Spirillosis,Bacterial infection NOS,bacterial infection,A250
144,144,A251,A25.1,711.0,710-716.99,Streptobacillosis,Arthropathy associated with infections,Arthropathies,A251
145,145,A259,A25.9,41.0,010-041.99,"Rat-bite fever, unspecified",Bacterial infection NOS,bacterial infection,A259
146,146,A26,A26,41.0,010-041.99,Erysipeloid,Bacterial infection NOS,bacterial infection,A26
147,147,A260,A26.0,529.1,527-529.99,Cutaneous erysipeloid,Glossitis,Diseases of mouth; excluding dental,A260
148,148,A260,A26.0,41.0,010-041.99,Cutaneous erysipeloid,Bacterial infection NOS,bacterial infection,A260
149,149,A267,A26.7,41.0,010-041.99,Erysipelothrix sepsis,Bacterial infection NOS,bacterial infection,A267
150,150,A267,A26.7,994.2,994-994.99,Erysipelothrix sepsis,Sepsis,Sepsis and SIRS,A267
151,151,A268,A26.8,41.0,010-041.99,Other forms of erysipeloid,Bacterial infection NOS,bacterial infection,A268
152,152,A269,A26.9,41.0,010-041.99,"Erysipeloid, unspecified",Bacterial infection NOS,bacterial infection,A269
153,153,A27,A27,130.0,130-136.99,Leptospirosis,Spirochetal infection,Other infections; including parasitic,A27
154,154,A270,A27.0,130.0,130-136.99,Leptospirosis icterohaemorrhagica,Spirochetal infection,Other infections; including parasitic,A270
155,155,A278,A27.8,130.0,130-136.99,Other forms of leptospirosis,Spirochetal infection,Other infections; including parasitic,A278
156,156,A279,A27.9,130.0,130-136.99,"Leptospirosis, unspecified",Spirochetal infection,Other infections; including parasitic,A279
157,157,A280,A28.0,41.0,010-041.99,Pasteurellosis,Bacterial infection NOS,bacterial infection,A280
158,158,A281,A28.1,79.0,050-079.99,Cat-scratch disease,Viral infection,Viral infection,A281
159,159,A282,A28.2,41.0,010-041.99,Extraintestinal yersiniosis,Bacterial infection NOS,bacterial infection,A282
160,160,A288,A28.8,41.0,010-041.99,"Other specified zoonotic bacterial diseases, not elsewhere classified",Bacterial infection NOS,bacterial infection,A288
161,161,A289,A28.9,41.0,010-041.99,"Zoonotic bacterial disease, unspecified",Bacterial infection NOS,bacterial infection,A289
162,162,A30,A30,31.1,010-041.99,Leprosy [Hansen disease],Leprosy,bacterial infection,A30
163,163,A300,A30.0,31.1,010-041.99,Indeterminate leprosy,Leprosy,bacterial infection,A300
164,164,A301,A30.1,31.1,010-041.99,Tuberculoid leprosy,Leprosy,bacterial infection,A301
165,165,A302,A30.2,31.1,010-041.99,Borderline tuberculoid leprosy,Leprosy,bacterial infection,A302
166,166,A303,A30.3,31.1,010-041.99,Borderline leprosy,Leprosy,bacterial infection,A303
167,167,A304,A30.4,31.1,010-041.99,Borderline lepromatous leprosy,Leprosy,bacterial infection,A304
168,168,A305,A30.5,31.1,010-041.99,Lepromatous leprosy,Leprosy,bacterial infection,A305
169,169,A308,A30.8,31.1,010-041.99,Other forms of leprosy,Leprosy,bacterial infection,A308
170,170,A309,A30.9,31.1,010-041.99,"Leprosy, unspecified",Leprosy,bacterial infection,A309
171,171,A310,A31.0,480.1,480-488.99,Pulmonary mycobacterial infection,Bacterial pneumonia,Pneumonia and influenza,A310
172,172,A311,A31.1,686.0,680-686.99,Cutaneous mycobacterial infection,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A311
173,173,A318,A31.8,31.0,010-041.99,Other mycobacterial infections,Diseases due to other mycobacteria,bacterial infection,A318
174,174,A319,A31.9,31.0,010-041.99,"Mycobacterial infection, unspecified",Diseases due to other mycobacteria,bacterial infection,A319
175,175,A32,A32,41.0,010-041.99,Listeriosis,Bacterial infection NOS,bacterial infection,A32
176,176,A320,A32.0,41.0,010-041.99,Cutaneous listeriosis,Bacterial infection NOS,bacterial infection,A320
177,177,A321,A32.1,41.0,010-041.99,Listerial meningitis and meningoencephalitis,Bacterial infection NOS,bacterial infection,A321
178,178,A327,A32.7,41.0,010-041.99,Listerial sepsis,Bacterial infection NOS,bacterial infection,A327
179,179,A328,A32.8,41.0,010-041.99,Other forms of listeriosis,Bacterial infection NOS,bacterial infection,A328
180,180,A329,A32.9,41.0,010-041.99,"Listeriosis, unspecified",Bacterial infection NOS,bacterial infection,A329
181,181,A33X,A33,657.0,657-657.99,Tetanus neonatorum,Infections specific to the perinatal period,Infections specific to the perinatal period,A33
182,182,A34X,A34,639.0,634-639.99,Obstetrical tetanus,Complications following abortion or ectopic and molar pregnancies," miscarriage, early labor, hemorrhage",A34
183,183,A35X,A35,41.0,010-041.99,Other tetanus,Bacterial infection NOS,bacterial infection,A35
184,184,A36,A36,41.0,010-041.99,Diphtheria,Bacterial infection NOS,bacterial infection,A36
185,185,A360,A36.0,465.0,460-469.99,Pharyngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,acute upper respiratory infections,A360
186,186,A361,A36.1,465.0,460-469.99,Nasopharyngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,acute upper respiratory infections,A361
187,187,A362,A36.2,465.0,460-469.99,Laryngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,acute upper respiratory infections,A362
188,188,A363,A36.3,686.0,680-686.99,Cutaneous diphtheria,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A363
189,189,A368,A36.8,41.0,010-041.99,Other diphtheria,Bacterial infection NOS,bacterial infection,A368
190,190,A369,A36.9,41.0,010-041.99,"Diphtheria, unspecified",Bacterial infection NOS,bacterial infection,A369
191,191,A37,A37,41.0,010-041.99,Whooping cough,Bacterial infection NOS,bacterial infection,A37
192,192,A370,A37.0,41.0,010-041.99,Whooping cough due to Bordetella pertussis,Bacterial infection NOS,bacterial infection,A370
193,193,A371,A37.1,41.0,010-041.99,Whooping cough due to Bordetella parapertussis,Bacterial infection NOS,bacterial infection,A371
194,194,A379,A37.9,41.0,010-041.99,"Whooping cough, unspecified",Bacterial infection NOS,bacterial infection,A379
195,195,A38X,A38,41.2,010-041.99,Scarlet fever,Streptococcus infection,bacterial infection,A38
196,196,A39,A39,41.0,010-041.99,Meningococcal infection,Bacterial infection NOS,bacterial infection,A39
197,197,A390,A39.0,320.0,320-326.9,Meningococcal meningitis,Meningitis,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,A390
198,198,A391,A39.1,41.0,010-041.99,Waterhouse-Friderichsen syndrome,Bacterial infection NOS,bacterial infection,A391
199,199,A392,A39.2,38.1,010-041.99,Acute meningococcaemia,Gram negative septicemia,bacterial infection,A392
200,200,A393,A39.3,38.1,010-041.99,Chronic meningococcaemia,Gram negative septicemia,bacterial infection,A393
201,201,A394,A39.4,38.1,010-041.99,"Meningococcaemia, unspecified",Gram negative septicemia,bacterial infection,A394
202,202,A395,A39.5,420.0,420-425.99,Meningococcal heart disease,Carditis,Other peri-; endo-; and myocarditis,A395
203,203,A398,A39.8,41.0,010-041.99,Other meningococcal infections,Bacterial infection NOS,bacterial infection,A398
204,204,A399,A39.9,41.0,010-041.99,"Meningococcal infection, unspecified",Bacterial infection NOS,bacterial infection,A399
205,205,A40,A40,38.1,010-041.99,Streptococcal sepsis,Gram negative septicemia,bacterial infection,A40
206,206,A400,A40.0,38.1,010-041.99,"Sepsis due to streptococcus, group A",Gram negative septicemia,bacterial infection,A400
207,207,A401,A40.1,41.2,010-041.99,"Sepsis due to streptococcus, group B",Streptococcus infection,bacterial infection,A401
208,208,A401,A40.1,38.1,010-041.99,"Sepsis due to streptococcus, group B",Gram negative septicemia,bacterial infection,A401
209,209,A402,A40.2,41.2,010-041.99,"Sepsis due to streptococcus, group D",Streptococcus infection,bacterial infection,A402
210,210,A402,A40.2,38.1,010-041.99,"Sepsis due to streptococcus, group D",Gram negative septicemia,bacterial infection,A402
211,211,A403,A40.3,38.2,010-041.99,Sepsis due to Streptococcus pneumoniae,Gram positive septicemia,bacterial infection,A403
212,212,A408,A40.8,38.1,010-041.99,Other streptococcal sepsis,Gram negative septicemia,bacterial infection,A408
213,213,A409,A40.9,38.1,010-041.99,"Streptococcal sepsis, unspecified",Gram negative septicemia,bacterial infection,A409
214,214,A410,A41.0,38.2,010-041.99,Sepsis due to Staphylococcus aureus,Gram positive septicemia,bacterial infection,A410
215,215,A411,A41.1,38.2,010-041.99,Sepsis due to other specified staphylococcus,Gram positive septicemia,bacterial infection,A411
216,216,A412,A41.2,38.2,010-041.99,Sepsis due to unspecified staphylococcus,Gram positive septicemia,bacterial infection,A412
217,217,A413,A41.3,38.1,010-041.99,Sepsis due to Haemophilus influenzae,Gram negative septicemia,bacterial infection,A413
218,218,A414,A41.4,38.0,010-041.99,Sepsis due to anaerobes,Septicemia,bacterial infection,A414
219,219,A415,A41.5,38.1,010-041.99,Sepsis due to other Gram-negative organisms,Gram negative septicemia,bacterial infection,A415
220,220,A418,A41.8,38.0,010-041.99,Other specified sepsis,Septicemia,bacterial infection,A418
221,221,A419,A41.9,994.2,994-994.99,"Sepsis, unspecified",Sepsis,Sepsis and SIRS,A419
222,222,A419,A41.9,38.0,010-041.99,"Sepsis, unspecified",Septicemia,bacterial infection,A419
223,223,A42,A42,41.0,010-041.99,Actinomycosis,Bacterial infection NOS,bacterial infection,A42
224,224,A420,A42.0,480.1,480-488.99,Pulmonary actinomycosis,Bacterial pneumonia,Pneumonia and influenza,A420
225,225,A421,A42.1,41.0,010-041.99,Abdominal actinomycosis,Bacterial infection NOS,bacterial infection,A421
226,226,A422,A42.2,41.0,010-041.99,Cervicofacial actinomycosis,Bacterial infection NOS,bacterial infection,A422
227,227,A427,A42.7,38.0,010-041.99,Actinomycotic sepsis,Septicemia,bacterial infection,A427
228,228,A427,A42.7,994.2,994-994.99,Actinomycotic sepsis,Sepsis,Sepsis and SIRS,A427
229,229,A428,A42.8,41.0,010-041.99,Other forms of actinomycosis,Bacterial infection NOS,bacterial infection,A428
230,230,A429,A42.9,41.0,010-041.99,"Actinomycosis, unspecified",Bacterial infection NOS,bacterial infection,A429
231,231,A43,A43,41.0,010-041.99,Nocardiosis,Bacterial infection NOS,bacterial infection,A43
232,232,A430,A43.0,480.1,480-488.99,Pulmonary nocardiosis,Bacterial pneumonia,Pneumonia and influenza,A430
233,233,A431,A43.1,686.0,680-686.99,Cutaneous nocardiosis,Other local infections of skin and subcutaneous tissue,Skin and subcutaneous tissue infections,A431
234,234,A438,A43.8,41.0,010-041.99,Other forms of nocardiosis,Bacterial infection NOS,bacterial infection,A438
235,235,A439,A43.9,41.0,010-041.99,"Nocardiosis, unspecified",Bacterial infection NOS,bacterial infection,A439
236,236,A44,A44,133.0,130-136.99,Bartonellosis,Arthropod-borne diseases,Other infections; including parasitic,A44
237,237,A440,A44.0,133.0,130-136.99,Systemic bartonellosis,Arthropod-borne diseases,Other infections; including parasitic,A440
238,238,A441,A44.1,133.0,130-136.99,Cutaneous and mucocutaneous bartonellosis,Arthropod-borne diseases,Other infections; including parasitic,A441
239,239,A448,A44.8,133.0,130-136.99,Other forms of bartonellosis,Arthropod-borne diseases,Other infections; including parasitic,A448
240,240,A449,A44.9,133.0,130-136.99,"Bartonellosis, unspecified",Arthropod-borne diseases,Other infections; including parasitic,A449
