,Unnamed: 0,parent_id,phecode,node_id,phenotype,phecode_exclude_range,sex,rollup,leaf,category_number,category
100,100,99,184.11,100,Malignant neoplasm of ovary,"174-184.99, 220-221.99",Female,1,1,2,neoplasms
101,101,98,184.2,101,Cancer of other female genital organs (excluding uterus and ovary),"174-184.99, 220-221.99",Female,1,1,2,neoplasms
102,102,-1,185,102,Cancer of prostate,"185-187.99, 796-796.99, 600-602.99",Male,1,1,2,neoplasms
103,103,-1,187,103,Cancer of other male genital organs,"185-187.99, 222-222.99",Male,1,0,2,neoplasms
104,104,103,187.1,104,Malignant neoplasm of unspecified male genital organ,"185-187.99, 222-222.99",Male,1,1,2,neoplasms
105,105,103,187.2,105,Malignant neoplasm of testis,"185-187.99, 222-222.99",Male,1,1,2,neoplasms
106,106,103,187.8,106,Neoplasm of uncertain behavior of male genital organs,"185-187.99, 222-222.99",Male,1,1,2,neoplasms
107,107,-1,189,107,Cancer of urinary organs (incl. kidney and bladder),188-189.99,,1,0,2,neoplasms
108,108,-1,189.11,108,"Malignant neoplasm of kidney, except pelvis",188-189.99,Both,1,1,2,neoplasms
109,109,-1,189.12,109,Malignant neoplasm of renal pelvis,188-189.99,Both,1,1,2,neoplasms
110,110,107,189.2,110,Cancer of bladder,188-189.99,Both,1,0,2,neoplasms
111,111,110,189.21,111,Malignant neoplasm of bladder,188-189.99,Both,1,1,2,neoplasms
112,112,107,189.4,112,Malignant neoplasm of other urinary organs,188-189.99,Both,1,1,2,neoplasms
113,113,-1,190,113,Cancer of eye,"224-225.99, 190-192.99",,1,1,2,neoplasms
114,114,-1,191,114,Manlignant and unknown neoplasms of brain and nervous system,"224-225.99, 190-192.99",,1,0,2,neoplasms
115,115,114,191.1,115,Cancer of brain and nervous system,"224-225.99, 190-192.99",Both,1,0,2,neoplasms
116,116,115,191.11,116,Cancer of brain,"224-225.99, 190-192.99",Both,1,1,2,neoplasms
117,117,-1,193,117,Thyroid cancer,"193-194.99, 226-227.99",,1,1,2,neoplasms
118,118,-1,194,118,Cancer of other endocrine glands,"193-194.99, 226-227.99",,1,1,2,neoplasms
119,119,-1,195,119,"Cancer, suspected or other",195-199.99,,1,0,2,neoplasms
120,120,119,195.1,120,"Malignant neoplasm, other",195-199.99,Both,1,1,2,neoplasms
121,121,119,195.3,121,"Malignant neoplasm of head, face, and neck",195-199.99,Both,1,0,2,neoplasms
122,122,-1,196,122,Radiotherapy,195-199.99,,1,1,2,neoplasms
123,123,-1,197,123,Chemotherapy,195-199.99,,1,1,2,neoplasms
124,124,-1,198,124,Secondary malignant neoplasm,195-199.99,,1,0,2,neoplasms
125,125,124,198.1,125,Secondary malignancy of lymph nodes,195-199.99,Both,1,1,2,neoplasms
126,126,124,198.2,126,Secondary malignancy of respiratory organs,195-199.99,Both,1,1,2,neoplasms
127,127,124,198.3,127,Secondary malignant neoplasm of digestive systems,195-199.99,Both,1,1,2,neoplasms
128,128,124,198.4,128,Secondary malignant neoplasm of liver,195-199.99,Both,1,1,2,neoplasms
129,129,124,198.5,129,Secondary malignancy of brain/spine,195-199.99,Both,1,1,2,neoplasms
130,130,124,198.6,130,Secondary malignancy of bone,195-199.99,Both,1,1,2,neoplasms
131,131,124,198.7,131,Secondary malignant neoplasm of skin,195-199.99,Both,1,1,2,neoplasms
132,132,-1,199,132,Neoplasm of uncertain behavior,195-199.99,Both,1,0,2,neoplasms
133,133,132,199.4,133,Neurofibromatosis,195-199.99,Both,1,1,2,neoplasms
134,134,-1,200,134,Myeloproliferative disease,200-204.99,,1,0,2,neoplasms
135,135,134,200.1,135,Polycythemia vera,"200-204.99, 289-289.99",Both,1,1,2,neoplasms
136,136,-1,201,136,Hodgkin's disease,200-204.99,,1,1,2,neoplasms
137,137,-1,202,137,"Cancer of other lymphoid, histiocytic tissue",200-204.99,,1,0,2,neoplasms
138,138,137,202.2,138,Non-Hodgkins lymphoma,200-204.99,Both,1,0,2,neoplasms
139,139,138,202.21,139,Nodular lymphoma,200-204.99,Both,1,1,2,neoplasms
140,140,138,202.23,140,Lymphosarcoma,200-204.99,Both,1,1,2,neoplasms
141,141,138,202.24,141,Large cell lymphoma,200-204.99,Both,1,1,2,neoplasms
142,142,-1,204,142,Leukemia,200-204.99,,1,0,2,neoplasms
143,143,142,204.1,143,Lymphoid leukemia,200-204.99,Both,1,0,2,neoplasms
144,144,143,204.11,144,"Lymphoid leukemia, acute",200-204.99,Both,1,1,2,neoplasms
145,145,143,204.12,145,"Lymphoid leukemia, chronic",200-204.99,Both,1,1,2,neoplasms
146,146,142,204.2,146,Myeloid leukemia,200-204.99,Both,1,0,2,neoplasms
147,147,146,204.21,147,"Myeloid leukemia, acute",200-204.99,Both,1,1,2,neoplasms
148,148,146,204.22,148,"Myeloid leukemia, chronic",200-204.99,Both,1,1,2,neoplasms
149,149,142,204.3,149,Monocytic leukemia,200-204.99,Both,1,1,2,neoplasms
150,150,142,204.4,150,Multiple myeloma,200-204.99,Both,1,1,2,neoplasms
151,151,-1,208,151,Benign neoplasm of colon,"153-153.99, 208-208.99",,1,1,2,neoplasms
152,152,-1,210,152,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99",,1,1,2,neoplasms
153,153,-1,211,153,Benign neoplasm of other parts of digestive system,"211-211.99, 150-159.99",,1,1,2,neoplasms
154,154,-1,212,154,Benign neoplasm of respiratory and intrathoracic organs,212-212.99,,1,1,2,neoplasms
155,155,-1,213,155,Benign neoplasm of bone and articular cartilage,210-229.99,,1,1,2,neoplasms
156,156,-1,214,156,Lipoma,214-215.99,,1,0,2,neoplasms
157,157,156,214.1,157,Lipoma of skin and subcutaneous tissue,214-215.99,Both,1,1,2,neoplasms
158,158,-1,215,158,Other benign neoplasm of connective and other soft tissue,214-215.99,,1,1,2,neoplasms
159,159,-1,216,159,Benign neoplasm of skin,216-217.99,,1,1,2,neoplasms
160,160,-1,217,160,Vascular hamartomas and non-neoplastic nevi,216-217.99,Both,1,0,2,neoplasms
161,161,160,217.1,161,"Nevus, non-neoplastic",216-217.99,Both,1,1,2,neoplasms
162,162,-1,218.1,162,Uterine leiomyoma,"217-223.99, 180-184.99",Female,1,1,2,neoplasms
163,163,-1,218.2,163,Other benign neoplasm of uterus,"217-223.99, 180-184.99",Female,1,1,2,neoplasms
164,164,-1,220,164,Benign neoplasm of ovary,"174-184.99, 217-221.99",Female,1,1,2,neoplasms
165,165,-1,221,165,Benign neoplasm of other female genital organs,"217-223.99, 174-184.99",Female,1,1,2,neoplasms
166,166,-1,222,166,Benign neoplasm of male genital organs,"185-187.99, 222-222.99",Male,1,1,2,neoplasms
167,167,-1,223,167,Benign neoplasm of kidney and other urinary organs,210-229.99,,1,1,2,neoplasms
168,168,-1,224,168,Benign neoplasm of eye,"224-225.99, 190-192.99",Both,1,0,2,neoplasms
169,169,168,224.1,169,"Benign neoplasm of eye, uveal","224-225.99, 190-192.99",Both,1,1,2,neoplasms
170,170,-1,225,170,Benign neoplasm of brain and other parts of nervous system,"224-225.99, 190-192.99",,1,0,2,neoplasms
171,171,170,225.1,171,"Benign neoplasm of brain, cranial nerves, meninges","224-225.99, 190-192.99",Both,1,1,2,neoplasms
172,172,170,225.2,172,"Benign neoplasm of spinal cord, meninges","224-225.99, 190-192.99",Both,1,1,2,neoplasms
173,173,-1,226,173,Benign neoplasm of thyroid glands,"193-194.99, 226-227.99",,1,1,2,neoplasms
174,174,-1,227,174,Benign neoplasm of other endocrine glands and related structures,"193-194.99, 226-227.99",,1,0,2,neoplasms
175,175,174,227.1,175,Benign neoplasm of adrenal gland,"193-194.99, 226-227.99",Both,1,1,2,neoplasms
176,176,174,227.2,176,Benign neoplasm of parathyroid gland,"193-194.99, 226-227.99",Both,1,1,2,neoplasms
177,177,174,227.3,177,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),"193-194.99, 226-227.99",Both,1,1,2,neoplasms
178,178,-1,228,178,"Hemangioma and lymphangioma, any site",228-228.99,Both,1,0,2,neoplasms
179,179,-1,229,179,Benign neoplasm of unspecified sites,229-229.99,,1,0,2,neoplasms
180,180,179,229.1,180,Benign neoplasm of lymph nodes,229-229.99,Both,1,1,2,neoplasms
181,181,-1,230,181,Kaposi's sarcoma,230-230.99,,1,1,2,neoplasms
182,182,-1,240,182,Simple and unspecified goiter,240-246.99,,1,1,3,endocrine/metabolic
183,183,-1,241,183,Nontoxic nodular goiter,240-246.99,Both,1,0,3,endocrine/metabolic
184,184,183,241.1,184,Nontoxic uninodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic
185,185,183,241.2,185,Nontoxic multinodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic
186,186,-1,242,186,Thyrotoxicosis with or without goiter,240-246.99,,1,0,3,endocrine/metabolic
187,187,186,242.1,187,Graves' disease,240-246.99,,1,1,3,endocrine/metabolic
188,188,186,242.2,188,Toxic multinodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic
189,189,186,242.3,189,Exophthalmos,240-246.99,Both,0,0,3,endocrine/metabolic
190,190,-1,244.1,190,Secondary hypothyroidism,240-246.99,,1,1,3,endocrine/metabolic
191,191,-1,244.2,191,Acquired hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic
192,192,-1,244.4,192,Hypothyroidism NOS,240-246.99,Both,1,1,3,endocrine/metabolic
193,193,-1,244.5,193,Congenital hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic
194,194,-1,245,194,Thyroiditis,240-246.99,Both,1,0,3,endocrine/metabolic
195,195,194,245.1,195,"Thyroiditis, acute and subacute",240-246.99,Both,1,1,3,endocrine/metabolic
196,196,194,245.2,196,Chronic thyroiditis,240-246.99,Both,1,0,3,endocrine/metabolic
197,197,196,245.21,197,Chronic lymphocytic thyroiditis,240-246.99,Both,1,1,3,endocrine/metabolic
198,198,-1,246,198,Other disorders of thyroid,240-246.99,Both,1,0,3,endocrine/metabolic
199,199,198,246.7,199,Abnormal results of function study of thyroid,240-246.99,Both,0,1,3,endocrine/metabolic
200,200,-1,249,200,Secondary diabetes mellitus,249-250.99,,1,1,3,endocrine/metabolic
201,201,-1,250.1,201,Type 1 diabetes,249-250.99,Both,1,0,3,endocrine/metabolic
202,202,201,250.11,202,Type 1 diabetes with ketoacidosis,249-250.99,Both,1,1,3,endocrine/metabolic
203,203,201,250.12,203,Type 1 diabetes with renal manifestations,249-250.99,Both,1,1,3,endocrine/metabolic
204,204,201,250.13,204,Type 1 diabetes with ophthalmic manifestations,249-250.99,Both,1,1,3,endocrine/metabolic
205,205,-1,250.2,205,Type 2 diabetes,249-250.99,Both,1,0,3,endocrine/metabolic
206,206,205,250.21,206,Type 2 diabetes with ketoacidosis,249-250.99,Both,1,1,3,endocrine/metabolic
207,207,205,250.22,207,Type 2 diabetes with renal manifestations,249-250.99,Both,1,1,3,endocrine/metabolic
208,208,205,250.23,208,Type 2 diabetes with ophthalmic manifestations,249-250.99,Both,1,1,3,endocrine/metabolic
209,209,205,250.24,209,Type 2 diabetes with neurological manifestations,249-250.99,Both,1,1,3,endocrine/metabolic
210,210,-1,250.3,210,Insulin pump user,249-250.99,Both,1,1,3,endocrine/metabolic
211,211,-1,250.41,211,Impaired fasting glucose,249-250.99,Both,1,1,3,endocrine/metabolic
212,212,-1,250.42,212,Other abnormal glucose,249-250.99,Both,1,1,3,endocrine/metabolic
213,213,-1,250.5,213,Glycosuria or Acetonuria,249-250.99,Both,1,1,3,endocrine/metabolic
214,214,-1,250.6,214,Polyneuropathy in diabetes,249-250.99,Both,1,1,3,endocrine/metabolic
215,215,-1,250.7,215,Diabetic retinopathy,"250.70-250.79,360-365.99",Both,1,1,3,endocrine/metabolic
216,216,-1,251,216,Other disorders of pancreatic internal secretion,251-259.99,Both,1,0,3,endocrine/metabolic
217,217,216,251.1,217,Hypoglycemia,249-259.99,Both,0,1,3,endocrine/metabolic
218,218,216,251.8,218,Abnormality of secretion of glucagon or gastrin,251-259.99,Both,1,1,3,endocrine/metabolic
219,219,-1,252,219,Disorders of parathyroid gland,251-259.99,,1,0,3,endocrine/metabolic
220,220,219,252.1,220,Hyperparathyroidism,251-259.99,,1,1,3,endocrine/metabolic
221,221,219,252.2,221,Hypoparathyroidism,251-259.99,Both,1,1,3,endocrine/metabolic
222,222,-1,253,222,Disorders of the pituitary gland and its hypothalamic control,251-259.99,,1,0,3,endocrine/metabolic
223,223,222,253.1,223,Pituitary hyperfunction,251-259.99,Both,1,0,3,endocrine/metabolic
224,224,223,253.11,224,Acromegaly and gigantism,251-259.99,Both,1,1,3,endocrine/metabolic
225,225,222,253.2,225,Pituitary hypofunction,251-259.99,Both,1,1,3,endocrine/metabolic
226,226,222,253.3,226,Diabetes insipidus,251-259.99,Both,1,1,3,endocrine/metabolic
227,227,222,253.7,227,Other disorders of neurohypophysis,251-259.99,Both,1,1,3,endocrine/metabolic
228,228,-1,254,228,Diseases of thymus gland,251-259.99,Both,1,1,3,endocrine/metabolic
229,229,-1,255,229,Disorders of adrenal glands,251-259.99,,1,0,3,endocrine/metabolic
230,230,229,255.1,230,Adrenal hyperfunction,251-259.99,Both,1,0,3,endocrine/metabolic
231,231,230,255.11,231,Cushing's syndrome,251-259.99,Both,1,1,3,endocrine/metabolic
232,232,230,255.12,232,Hyperaldosteronism,251-259.99,Both,1,1,3,endocrine/metabolic
233,233,230,255.13,233,Medulloadrenal hyperfunction,251-259.99,Both,1,1,3,endocrine/metabolic
234,234,-1,255.21,234,Glucocorticoid deficiency,251-259.99,Both,1,1,3,endocrine/metabolic
235,235,229,255.3,235,Adrenogenital disorders,251-259.99,Both,1,1,3,endocrine/metabolic
236,236,-1,256,236,Ovarian dysfunction,251-259.99,Female,1,0,3,endocrine/metabolic
237,237,236,256.4,237,Polycystic ovaries,251-259.99,Female,1,1,3,endocrine/metabolic
238,238,-1,257,238,Testicular dysfunction,251-259.99,Male,1,0,3,endocrine/metabolic
239,239,238,257.1,239,Testicular hypofunction,251-259.99,Male,1,1,3,endocrine/metabolic
240,240,-1,258,240,Iatrogenic endocrine disorders,251-259.99,,1,1,3,endocrine/metabolic
241,241,240,258.1,241,Postablative ovarian failure,251-259.99,Female,0,1,3,endocrine/metabolic
242,242,-1,259,242,Other endocrine disorders,251-259.99,,1,0,3,endocrine/metabolic
243,243,242,259.1,243,Nonspecific abnormal results of other endocrine function study,251-259.99,Both,1,1,3,endocrine/metabolic
244,244,242,259.2,244,Carcinoid syndrome,251-259.99,Both,0,1,3,endocrine/metabolic
245,245,242,259.3,245,Delay in sexual development and puberty NEC,251-259.99,Both,0,1,3,endocrine/metabolic
246,246,242,259.4,246,Precocious sexual development and puberty NEC,251-259.99,Both,0,1,3,endocrine/metabolic
247,247,-1,260,247,Protein-calorie malnutrition,260-264.99,,1,0,3,endocrine/metabolic
248,248,247,260.1,248,Cachexia,260-264.99,Both,0,1,3,endocrine/metabolic
249,249,247,260.2,249,severe protein-calorie malnutrition,260-264.99,Both,1,0,3,endocrine/metabolic
250,250,249,260.22,250,Nutritional marasmus,260-264.99,Both,1,1,3,endocrine/metabolic
251,251,247,260.6,251,Anorexia,260-264.99,Both,0,1,3,endocrine/metabolic
252,252,247,260.7,252,Polyphagia,260-264.99,Both,0,1,3,endocrine/metabolic
253,253,-1,261,253,Vitamin deficiency,260-264.99,Both,1,0,3,endocrine/metabolic
254,254,253,261.1,254,Vitamin A deficiency,260-264.99,Both,1,1,3,endocrine/metabolic
255,255,253,261.2,255,Vitamin B-complex deficiencies,260-264.99,Both,1,1,3,endocrine/metabolic
256,256,253,261.3,256,Vitamin C deficiencies,260-264.99,Both,1,1,3,endocrine/metabolic
257,257,253,261.4,257,Vitamin D deficiency,260-264.99,Both,1,0,3,endocrine/metabolic
258,258,257,261.41,258,Rickets or osteomalacia,260-264.99,Both,1,1,3,endocrine/metabolic
259,259,-1,262,259,Mineral deficiency NEC,260-264.99,Both,1,1,3,endocrine/metabolic
260,260,-1,263,260,Other nutritional deficiency,260-264.99,,1,1,3,endocrine/metabolic
261,261,-1,264.9,261,"Lack of normal physiological development, unspecified",260-264.99,Both,1,1,3,endocrine/metabolic
262,262,-1,269,262,Proteinuria,269-270.99,Both,1,1,3,endocrine/metabolic
263,263,-1,270.1,263,Disturbances of amino-acid transport,269-270.99,Both,1,0,3,endocrine/metabolic
264,264,263,270.11,264,Disturbances of sulphur-bearing amino-acid metabolism,269-270.99,Both,1,1,3,endocrine/metabolic
265,265,263,270.12,265,Phenylketonuria [PKU],269-270.99,Both,1,1,3,endocrine/metabolic
266,266,-1,270.2,266,Disorders of amino-acid metabolism,269-270.99,Both,1,0,3,endocrine/metabolic
267,267,266,270.21,267,Disorders of urea cycle metabolism,269-270.99,Both,1,1,3,endocrine/metabolic
268,268,-1,270.31,268,Polyclonal hypergammaglobulinemia,269-270.99,Both,1,1,3,endocrine/metabolic
269,269,-1,270.32,269,Paraproteinemia,269-270.99,Both,1,1,3,endocrine/metabolic
270,270,-1,270.33,270,Amyloidosis,269-270.99,Both,0,1,3,endocrine/metabolic
271,271,-1,270.35,271,Macroglobulinemia,269-270.99,Both,1,1,3,endocrine/metabolic
272,272,-1,271.3,272,Intestinal disaccharidase deficiencies and disaccharide malabsorption,271-271.99,Both,1,1,3,endocrine/metabolic
273,273,-1,271.9,273,Other disorders of carbohydrate transport and metabolism,271-271.99,Both,1,1,3,endocrine/metabolic
274,274,-1,272.1,274,Hyperlipidemia,272-272.99,,1,0,3,endocrine/metabolic
275,275,274,272.11,275,Hypercholesterolemia,272-272.99,Both,1,1,3,endocrine/metabolic
276,276,274,272.12,276,Hyperglyceridemia,272-272.99,Both,1,1,3,endocrine/metabolic
277,277,274,272.13,277,Mixed hyperlipidemia,272-272.99,Both,1,1,3,endocrine/metabolic
278,278,274,272.14,278,Hyperchylomicronemia,272-272.99,Both,1,1,3,endocrine/metabolic
279,279,-1,272.9,279,Unspecified disorder of lipoid metabolism,272-272.99,Both,1,1,3,endocrine/metabolic
280,280,-1,274.1,280,Gout,274-274.99,Both,1,0,3,endocrine/metabolic
281,281,280,274.11,281,Gouty arthropathy,274-274.99,Both,1,1,3,endocrine/metabolic
